BCU_Code|BCU_Name|Major_Crime_Category|Minor_Crime_Category|Number_of_Records|Borough|Sum_Value|Type|Month|Year
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|2|Sanction Detections|7|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|4|Sanction Detections|7|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|1|Sanction Detections|7|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|2|Sanction Detections|7|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|3|Sanction Detections|7|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|1|Sanction Detections|7|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|2|Sanction Detections|7|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|1|Sanction Detections|7|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|2|Sanction Detections|7|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|0|Sanction Detections|7|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|1|Sanction Detections|7|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|3|Sanction Detections|7|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|0|Sanction Detections|7|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|0|Sanction Detections|7|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|1|Sanction Detections|7|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|0|Sanction Detections|7|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|0|Sanction Detections|7|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|1|Sanction Detections|7|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|1|Sanction Detections|7|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|1|Sanction Detections|7|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|0|Sanction Detections|7|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|72|Offences|1|2011
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|87|Offences|1|2011
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|87|Offences|1|2011
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|67|Offences|1|2011
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|46|Offences|1|2011
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|107|Offences|1|2011
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|72|Offences|1|2011
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|14|Offences|1|2011
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|5|Offences|1|2011
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|9|Offences|1|2011
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|15|Offences|1|2011
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|15|Offences|1|2011
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|19|Offences|1|2011
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|15|Offences|1|2011
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|7|Offences|1|2011
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|5|Offences|1|2011
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|8|Offences|1|2011
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|3|Offences|1|2011
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|12|Offences|1|2011
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|14|Offences|1|2011
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|27|Offences|1|2011
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|20|Offences|1|2011
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|3|Offences|1|2011
SW|South West Command Unit|Theft|Bicycle Theft|1|Richmond upon Thames|27|Offences|1|2011
SW|South West Command Unit|Theft|Bicycle Theft|1|Kingston upon Thames|24|Offences|1|2011
SW|South West Command Unit|Theft|Bicycle Theft|1|Merton|23|Offences|1|2011
SW|South West Command Unit|Theft|Bicycle Theft|1|Wandsworth|59|Offences|1|2011
WA|West Area Command Unit|Theft|Bicycle Theft|1|Heathrow Airport|0|Offences|1|2011
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hounslow|33|Offences|1|2011
WA|West Area Command Unit|Theft|Bicycle Theft|1|Ealing|28|Offences|1|2011
WA|West Area Command Unit|Theft|Bicycle Theft|1|Hillingdon|13|Offences|1|2011
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|1|Sanction Detections|1|2011
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|0|Sanction Detections|1|2011
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|3|Sanction Detections|1|2011
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|0|Sanction Detections|1|2011
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|0|Sanction Detections|1|2011
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|0|Sanction Detections|1|2011
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|0|Sanction Detections|1|2011
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|2|Sanction Detections|1|2011
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|1|Sanction Detections|1|2011
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|2|Sanction Detections|8|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|2|Sanction Detections|8|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|3|Sanction Detections|8|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|0|Sanction Detections|8|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|0|Sanction Detections|8|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|1|Sanction Detections|8|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|0|Sanction Detections|8|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|1|Sanction Detections|8|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|0|Sanction Detections|8|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|0|Sanction Detections|8|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|0|Sanction Detections|8|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|0|Sanction Detections|8|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|0|Sanction Detections|8|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|0|Sanction Detections|8|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|0|Sanction Detections|8|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|2|Sanction Detections|8|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|3|Sanction Detections|8|2010
